# Absolute intensity in pT^2 and number of samples in each L*/MLT bin in Figure 8h
# L*,MLT,Intensity,Counts
0.0500,0.5000,nan,0.0000e+00
0.1500,0.5000,nan,0.0000e+00
0.2500,0.5000,nan,0.0000e+00
0.3500,0.5000,nan,0.0000e+00
0.4500,0.5000,nan,0.0000e+00
0.5500,0.5000,nan,0.0000e+00
0.6500,0.5000,nan,0.0000e+00
0.7500,0.5000,nan,0.0000e+00
0.8500,0.5000,nan,0.0000e+00
0.9500,0.5000,nan,0.0000e+00
1.0500,0.5000,nan,0.0000e+00
1.1500,0.5000,nan,0.0000e+00
1.2500,0.5000,nan,0.0000e+00
1.3500,0.5000,nan,0.0000e+00
1.4500,0.5000,nan,0.0000e+00
1.5500,0.5000,nan,0.0000e+00
1.6500,0.5000,nan,0.0000e+00
1.7500,0.5000,nan,0.0000e+00
1.8500,0.5000,nan,0.0000e+00
1.9500,0.5000,nan,0.0000e+00
2.0500,0.5000,nan,0.0000e+00
2.1500,0.5000,nan,0.0000e+00
2.2500,0.5000,nan,0.0000e+00
2.3500,0.5000,nan,0.0000e+00
2.4500,0.5000,nan,0.0000e+00
2.5500,0.5000,nan,0.0000e+00
2.6500,0.5000,nan,3.0000e+01
2.7500,0.5000,nan,6.6000e+01
2.8500,0.5000,nan,6.0000e+01
2.9500,0.5000,nan,6.4000e+01
3.0500,0.5000,nan,9.6000e+01
3.1500,0.5000,0.0000e+00,1.6400e+02
3.2500,0.5000,1.0925e-01,2.0500e+02
3.3500,0.5000,0.0000e+00,2.9500e+02
3.4500,0.5000,2.2588e+01,3.5300e+02
3.5500,0.5000,8.6137e+01,4.0900e+02
3.6500,0.5000,8.5655e+01,5.2800e+02
3.7500,0.5000,7.5322e+00,7.1200e+02
3.8500,0.5000,1.1585e+00,8.0700e+02
3.9500,0.5000,7.2278e+00,7.7300e+02
4.0500,0.5000,3.5217e+00,8.1500e+02
4.1500,0.5000,2.8115e-01,9.3100e+02
4.2500,0.5000,3.0621e-01,9.9300e+02
4.3500,0.5000,2.4275e-01,1.0540e+03
4.4500,0.5000,8.7551e-01,1.0350e+03
4.5500,0.5000,7.3223e-02,1.0520e+03
4.6500,0.5000,2.2441e-01,1.1440e+03
4.7500,0.5000,9.4409e-02,1.2850e+03
4.8500,0.5000,7.5122e-04,1.4100e+03
4.9500,0.5000,7.1641e-03,1.4350e+03
5.0500,0.5000,0.0000e+00,1.4560e+03
5.1500,0.5000,4.0010e-03,1.6720e+03
5.2500,0.5000,1.2786e-01,1.7000e+03
