# Absolute intensity in pT^2 and number of samples in each L*/MLT bin in Figure 8e
# L*,MLT,Intensity,Counts
0.0500,0.5000,nan,0.0000e+00
0.1500,0.5000,nan,0.0000e+00
0.2500,0.5000,nan,0.0000e+00
0.3500,0.5000,nan,0.0000e+00
0.4500,0.5000,nan,0.0000e+00
0.5500,0.5000,nan,0.0000e+00
0.6500,0.5000,nan,0.0000e+00
0.7500,0.5000,nan,0.0000e+00
0.8500,0.5000,nan,0.0000e+00
0.9500,0.5000,nan,0.0000e+00
1.0500,0.5000,nan,0.0000e+00
1.1500,0.5000,nan,0.0000e+00
1.2500,0.5000,nan,0.0000e+00
1.3500,0.5000,nan,0.0000e+00
1.4500,0.5000,nan,0.0000e+00
1.5500,0.5000,nan,0.0000e+00
1.6500,0.5000,nan,0.0000e+00
1.7500,0.5000,nan,0.0000e+00
1.8500,0.5000,nan,0.0000e+00
1.9500,0.5000,nan,0.0000e+00
2.0500,0.5000,nan,0.0000e+00
2.1500,0.5000,nan,0.0000e+00
2.2500,0.5000,nan,0.0000e+00
2.3500,0.5000,nan,0.0000e+00
2.4500,0.5000,nan,0.0000e+00
2.5500,0.5000,nan,0.0000e+00
2.6500,0.5000,nan,1.0000e+01
2.7500,0.5000,nan,3.2000e+01
2.8500,0.5000,nan,4.4000e+01
2.9500,0.5000,nan,5.0000e+01
3.0500,0.5000,nan,2.1000e+01
3.1500,0.5000,nan,7.3000e+01
3.2500,0.5000,1.7487e+00,1.0900e+02
3.3500,0.5000,nan,6.2000e+01
3.4500,0.5000,0.0000e+00,1.6100e+02
3.5500,0.5000,4.3652e-02,2.7800e+02
3.6500,0.5000,5.5239e-01,3.5700e+02
3.7500,0.5000,1.2091e+00,4.5300e+02
3.8500,0.5000,8.3459e-01,5.0600e+02
3.9500,0.5000,5.0472e+00,5.1000e+02
4.0500,0.5000,1.9908e+01,6.4700e+02
4.1500,0.5000,1.4469e+01,9.6200e+02
4.2500,0.5000,2.4247e+01,1.3030e+03
4.3500,0.5000,2.1944e+01,1.4580e+03
4.4500,0.5000,2.0094e+01,1.6170e+03
4.5500,0.5000,3.1209e+01,1.7240e+03
4.6500,0.5000,6.8994e+00,1.7210e+03
4.7500,0.5000,4.8876e+00,1.8490e+03
4.8500,0.5000,3.9963e+00,1.7730e+03
4.9500,0.5000,1.3533e+01,1.3480e+03
5.0500,0.5000,5.8797e+00,2.0690e+03
5.1500,0.5000,4.7432e+00,2.1310e+03
5.2500,0.5000,8.4951e-01,2.7740e+03
