# Absolute intensity in pT^2 and number of samples in each L*/MLT bin in Figure 9c
# L*,MLT,Intensity,Counts
0.0500,0.5000,nan,0.0000e+00
0.1500,0.5000,nan,0.0000e+00
0.2500,0.5000,nan,0.0000e+00
0.3500,0.5000,nan,0.0000e+00
0.4500,0.5000,nan,0.0000e+00
0.5500,0.5000,nan,0.0000e+00
0.6500,0.5000,nan,0.0000e+00
0.7500,0.5000,nan,0.0000e+00
0.8500,0.5000,nan,0.0000e+00
0.9500,0.5000,nan,0.0000e+00
1.0500,0.5000,nan,0.0000e+00
1.1500,0.5000,nan,0.0000e+00
1.2500,0.5000,nan,0.0000e+00
1.3500,0.5000,nan,0.0000e+00
1.4500,0.5000,nan,0.0000e+00
1.5500,0.5000,nan,0.0000e+00
1.6500,0.5000,nan,0.0000e+00
1.7500,0.5000,nan,0.0000e+00
1.8500,0.5000,nan,0.0000e+00
1.9500,0.5000,nan,0.0000e+00
2.0500,0.5000,nan,0.0000e+00
2.1500,0.5000,nan,0.0000e+00
2.2500,0.5000,nan,0.0000e+00
2.3500,0.5000,nan,0.0000e+00
2.4500,0.5000,nan,0.0000e+00
2.5500,0.5000,nan,2.0000e+01
2.6500,0.5000,nan,3.1000e+01
2.7500,0.5000,nan,3.3000e+01
2.8500,0.5000,nan,1.0000e+01
2.9500,0.5000,nan,0.0000e+00
3.0500,0.5000,nan,0.0000e+00
3.1500,0.5000,nan,1.4000e+01
3.2500,0.5000,nan,3.3000e+01
3.3500,0.5000,nan,4.8000e+01
3.4500,0.5000,nan,4.8000e+01
3.5500,0.5000,8.9357e-01,1.7100e+02
3.6500,0.5000,4.1076e-01,2.2300e+02
3.7500,0.5000,1.1382e+01,2.4800e+02
3.8500,0.5000,5.7311e+02,2.6700e+02
3.9500,0.5000,5.5556e+02,2.2800e+02
4.0500,0.5000,9.9388e+02,2.7400e+02
4.1500,0.5000,3.4838e+03,2.9900e+02
4.2500,0.5000,2.9261e+04,3.2300e+02
4.3500,0.5000,1.3239e+04,3.4500e+02
4.4500,0.5000,1.5753e+03,4.9900e+02
4.5500,0.5000,1.1434e+04,4.2200e+02
4.6500,0.5000,2.4394e+02,3.2500e+02
4.7500,0.5000,6.5170e+02,2.9800e+02
4.8500,0.5000,2.0590e+02,3.7200e+02
4.9500,0.5000,7.2551e+02,4.0300e+02
5.0500,0.5000,4.1721e+03,9.8600e+02
5.1500,0.5000,2.8425e+02,5.2100e+02
5.2500,0.5000,1.3633e+03,3.5700e+02
5.3500,0.5000,5.0198e+02,2.7300e+02
